paper_id,replacement_pct,age_days,strength_mpa,is_range,sio2,cao,al2o3,fe2o3,mgo,so3,na2o,k2o,loi,amorphous_pct,specific_gravity,mean_particle_um,specific_surface,bet_surface,blaine,wb_ratio,burn_temp_c,burn_duration,grind_duration,pozzolanic_reactivity,activation_method,mineralogy,processing_method,ctrl_strength_mpa,rel_strength,aggregate_replacement_suspect
6,10.0,90.0,59.0,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,50.3,1.1729622266401591,False
6,15.0,3.0,17.9,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,16.5,1.0848484848484847,False
6,15.0,7.0,34.2,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,30.2,1.1324503311258278,False
6,15.0,28.0,46.9,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,40.3,1.163771712158809,False
6,15.0,90.0,63.2,False,89.61,0.91,0.04,0.22,0.42,0.15,0.07,1.58,5.91,90.0,2.15,,,,3600.0,,650.0,60.0,,2.0,thermal,mixed,controlled_burn,50.3,1.2564612326043738,False
8,5.0,28.0,40.2,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,56.0,43.1,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,90.0,45.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,180.0,48.6,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,28.0,33.9,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,56.0,37.4,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,90.0,40.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,180.0,42.7,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,28.0,34.4,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,56.0,38.6,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,90.0,41.1,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,180.0,43.5,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,28.0,36.3,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,56.0,40.3,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,90.0,42.3,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,180.0,45.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,28.0,41.5,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,56.0,46.5,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,90.0,49.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,5.0,180.0,51.6,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,28.0,41.8,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,56.0,47.8,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,90.0,50.5,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,180.0,52.8,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,28.0,36.3,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,56.0,40.7,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,90.0,42.7,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,15.0,180.0,45.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,28.0,33.8,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,56.0,37.4,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,90.0,40.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,20.0,180.0,42.7,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,28.0,44.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,56.0,49.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,90.0,52.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,180.0,52.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,28.0,49.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,56.0,55.5,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,90.0,57.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
8,10.0,180.0,58.0,False,94.5,0.86,0.345,0.275,0.21,,0.32,1.43,0.2299999999999999,95.0,2120.0,18.0,,74.5,,4.784000000000001,600.0,3.0,90.0,2.0,both,amorphous,burn_other,,,False
11,0.0,1.0,46.0,True,88.32,0.67,0.46,0.67,0.44,,1.7066666666666668,2.91,5.81,,2.11,93.71818181818183,16.88571428571429,16.88571428571429,,0.53,690.0,24.0,225.0,2.0,both,amorphous,controlled_burn,46.0,1.0,False
13,0.0,7.0,30.5,False,47.5725,1.97875,1.87125,1.9275,2.07125,1.829375,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,25.5,1.196078431372549,False
13,0.0,7.0,20.5,False,47.5725,1.97875,1.87125,1.9275,2.07125,1.829375,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,25.5,0.803921568627451,False
13,0.0,28.0,41.0,False,47.5725,1.97875,1.87125,1.9275,2.07125,1.829375,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,35.0,1.1714285714285715,False
13,0.0,28.0,29.0,False,47.5725,1.97875,1.87125,1.9275,2.07125,1.829375,1.79875,2.7731250000000003,3.9275,,2.73,7.391764705882353,,,2583.4444444444443,0.49,700.0,6.0,127.5,2.0,mechanical,crystalline,burn_other,35.0,0.8285714285714286,False
14,10.0,1.0,41.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,3.0,59.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,7.0,62.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,14.0,63.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,28.0,66.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,56.0,69.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
14,10.0,91.0,74.0,False,91.0,,0.35,0.41,0.81,1.21,0.08,3.21,8.5,,2.06,49.5,,,,0.3499999999999999,700.0,,30.5,,mechanical,mixed,controlled_burn,,,False
